date_key,Date,Month,Month_Year,Quarter,Day_Of_Week,Is_Weekend
2026-06-01,2026-06-01,June,Jun 2026,Q2,Monday,0
2026-06-02,2026-06-02,June,Jun 2026,Q2,Tuesday,0
2026-06-03,2026-06-03,June,Jun 2026,Q2,Wednesday,0
2026-06-04,2026-06-04,June,Jun 2026,Q2,Thursday,0
2026-06-05,2026-06-05,June,Jun 2026,Q2,Friday,0
2026-06-06,2026-06-06,June,Jun 2026,Q2,Saturday,1
2026-06-07,2026-06-07,June,Jun 2026,Q2,Sunday,1
2026-06-08,2026-06-08,June,Jun 2026,Q2,Monday,0
2026-06-09,2026-06-09,June,Jun 2026,Q2,Tuesday,0
2026-06-10,2026-06-10,June,Jun 2026,Q2,Wednesday,0
2026-06-11,2026-06-11,June,Jun 2026,Q2,Thursday,0
2026-06-12,2026-06-12,June,Jun 2026,Q2,Friday,0
2026-06-13,2026-06-13,June,Jun 2026,Q2,Saturday,1
2026-06-14,2026-06-14,June,Jun 2026,Q2,Sunday,1
2026-06-15,2026-06-15,June,Jun 2026,Q2,Monday,0
2026-06-16,2026-06-16,June,Jun 2026,Q2,Tuesday,0
2026-06-17,2026-06-17,June,Jun 2026,Q2,Wednesday,0
2026-06-18,2026-06-18,June,Jun 2026,Q2,Thursday,0
2026-06-19,2026-06-19,June,Jun 2026,Q2,Friday,0
2026-06-20,2026-06-20,June,Jun 2026,Q2,Saturday,1
2026-06-21,2026-06-21,June,Jun 2026,Q2,Sunday,1
2026-06-22,2026-06-22,June,Jun 2026,Q2,Monday,0
2026-06-23,2026-06-23,June,Jun 2026,Q2,Tuesday,0
2026-06-24,2026-06-24,June,Jun 2026,Q2,Wednesday,0
2026-06-25,2026-06-25,June,Jun 2026,Q2,Thursday,0
2026-06-26,2026-06-26,June,Jun 2026,Q2,Friday,0
2026-06-27,2026-06-27,June,Jun 2026,Q2,Saturday,1
2026-06-28,2026-06-28,June,Jun 2026,Q2,Sunday,1
2026-06-29,2026-06-29,June,Jun 2026,Q2,Monday,0
2026-06-30,2026-06-30,June,Jun 2026,Q2,Tuesday,0
2026-07-01,2026-07-01,July,Jul 2026,Q3,Wednesday,0
2026-07-02,2026-07-02,July,Jul 2026,Q3,Thursday,0
2026-07-03,2026-07-03,July,Jul 2026,Q3,Friday,0
2026-07-04,2026-07-04,July,Jul 2026,Q3,Saturday,1
2026-07-05,2026-07-05,July,Jul 2026,Q3,Sunday,1
2026-07-06,2026-07-06,July,Jul 2026,Q3,Monday,0
2026-07-07,2026-07-07,July,Jul 2026,Q3,Tuesday,0
2026-07-08,2026-07-08,July,Jul 2026,Q3,Wednesday,0
2026-07-09,2026-07-09,July,Jul 2026,Q3,Thursday,0
2026-07-10,2026-07-10,July,Jul 2026,Q3,Friday,0
2026-07-11,2026-07-11,July,Jul 2026,Q3,Saturday,1
2026-07-12,2026-07-12,July,Jul 2026,Q3,Sunday,1
2026-07-13,2026-07-13,July,Jul 2026,Q3,Monday,0
2026-07-14,2026-07-14,July,Jul 2026,Q3,Tuesday,0
2026-07-15,2026-07-15,July,Jul 2026,Q3,Wednesday,0
2026-07-16,2026-07-16,July,Jul 2026,Q3,Thursday,0
2026-07-17,2026-07-17,July,Jul 2026,Q3,Friday,0
2026-07-18,2026-07-18,July,Jul 2026,Q3,Saturday,1
2026-07-19,2026-07-19,July,Jul 2026,Q3,Sunday,1
2026-07-20,2026-07-20,July,Jul 2026,Q3,Monday,0
2026-07-21,2026-07-21,July,Jul 2026,Q3,Tuesday,0
2026-07-22,2026-07-22,July,Jul 2026,Q3,Wednesday,0
2026-07-23,2026-07-23,July,Jul 2026,Q3,Thursday,0
2026-07-24,2026-07-24,July,Jul 2026,Q3,Friday,0
2026-07-25,2026-07-25,July,Jul 2026,Q3,Saturday,1
2026-07-26,2026-07-26,July,Jul 2026,Q3,Sunday,1
2026-07-27,2026-07-27,July,Jul 2026,Q3,Monday,0
2026-07-28,2026-07-28,July,Jul 2026,Q3,Tuesday,0
2026-07-29,2026-07-29,July,Jul 2026,Q3,Wednesday,0
2026-07-30,2026-07-30,July,Jul 2026,Q3,Thursday,0
2026-07-31,2026-07-31,July,Jul 2026,Q3,Friday,0
2026-08-01,2026-08-01,August,Aug 2026,Q3,Saturday,1
2026-08-02,2026-08-02,August,Aug 2026,Q3,Sunday,1
2026-08-03,2026-08-03,August,Aug 2026,Q3,Monday,0
2026-08-04,2026-08-04,August,Aug 2026,Q3,Tuesday,0
2026-08-05,2026-08-05,August,Aug 2026,Q3,Wednesday,0
2026-08-06,2026-08-06,August,Aug 2026,Q3,Thursday,0
2026-08-07,2026-08-07,August,Aug 2026,Q3,Friday,0
2026-08-08,2026-08-08,August,Aug 2026,Q3,Saturday,1
2026-08-09,2026-08-09,August,Aug 2026,Q3,Sunday,1
2026-08-10,2026-08-10,August,Aug 2026,Q3,Monday,0
2026-08-11,2026-08-11,August,Aug 2026,Q3,Tuesday,0
2026-08-12,2026-08-12,August,Aug 2026,Q3,Wednesday,0
2026-08-13,2026-08-13,August,Aug 2026,Q3,Thursday,0
2026-08-14,2026-08-14,August,Aug 2026,Q3,Friday,0
2026-08-15,2026-08-15,August,Aug 2026,Q3,Saturday,1
2026-08-16,2026-08-16,August,Aug 2026,Q3,Sunday,1
2026-08-17,2026-08-17,August,Aug 2026,Q3,Monday,0
2026-08-18,2026-08-18,August,Aug 2026,Q3,Tuesday,0
2026-08-19,2026-08-19,August,Aug 2026,Q3,Wednesday,0
2026-08-20,2026-08-20,August,Aug 2026,Q3,Thursday,0
2026-08-21,2026-08-21,August,Aug 2026,Q3,Friday,0
2026-08-22,2026-08-22,August,Aug 2026,Q3,Saturday,1
2026-08-23,2026-08-23,August,Aug 2026,Q3,Sunday,1
2026-08-24,2026-08-24,August,Aug 2026,Q3,Monday,0
2026-08-25,2026-08-25,August,Aug 2026,Q3,Tuesday,0
2026-08-26,2026-08-26,August,Aug 2026,Q3,Wednesday,0
2026-08-27,2026-08-27,August,Aug 2026,Q3,Thursday,0
2026-08-28,2026-08-28,August,Aug 2026,Q3,Friday,0
2026-08-29,2026-08-29,August,Aug 2026,Q3,Saturday,1
2026-08-30,2026-08-30,August,Aug 2026,Q3,Sunday,1
2026-08-31,2026-08-31,August,Aug 2026,Q3,Monday,0
