txn_id,date_key,timestamp,merchant_id,bank_id,method_id,amount,status,error_category,latency_ms,mdr_rate_pct
TXN_0000001,2026-07-06,2026-07-06 07:14:08,M_106,BNK_01,PM_01,3735.06,SUCCESS,NONE,1249,0.0065
TXN_0000002,2026-07-25,2026-07-25 01:01:05,M_105,BNK_01,PM_05,301.43,SUCCESS,NONE,1058,0.015
TXN_0000003,2026-08-09,2026-08-09 13:14:28,M_101,BNK_05,PM_02,1534.77,SUCCESS,NONE,1294,0.0185
TXN_0000004,2026-07-14,2026-07-14 08:09:13,M_101,BNK_02,PM_04,2399.45,SUCCESS,NONE,1556,0.009
TXN_0000005,2026-07-16,2026-07-16 11:38:16,M_101,BNK_04,PM_01,2046.75,SUCCESS,NONE,1029,0.0065
TXN_0000006,2026-06-11,2026-06-11 17:18:53,M_105,BNK_01,PM_04,772.94,FAILED,ISSUER_DOWNTIME,3589,0.009
TXN_0000007,2026-06-30,2026-06-30 09:05:54,M_102,BNK_01,PM_01,1317.4,SUCCESS,NONE,1573,0.0
TXN_0000008,2026-06-21,2026-06-21 11:22:13,M_103,BNK_04,PM_03,3416.84,SUCCESS,NONE,1330,0.0185
TXN_0000009,2026-06-22,2026-06-22 17:46:15,M_106,BNK_01,PM_05,984.33,SUCCESS,NONE,959,0.015
TXN_0000010,2026-07-12,2026-07-12 01:14:52,M_106,BNK_05,PM_02,354.08,SUCCESS,NONE,1262,0.0185
TXN_0000011,2026-08-12,2026-08-12 22:20:13,M_103,BNK_01,PM_02,3346.11,SUCCESS,NONE,960,0.0185
TXN_0000012,2026-07-04,2026-07-04 04:15:47,M_106,BNK_04,PM_02,2894.57,SUCCESS,NONE,960,0.0185
TXN_0000013,2026-07-22,2026-07-22 11:14:08,M_105,BNK_04,PM_05,635.96,SUCCESS,NONE,1172,0.015
TXN_0000014,2026-08-20,2026-08-20 05:50:43,M_101,BNK_01,PM_02,1142.08,SUCCESS,NONE,526,0.0185
TXN_0000015,2026-08-07,2026-08-07 08:35:55,M_104,BNK_05,PM_04,17107.68,SUCCESS,NONE,582,0.009
TXN_0000016,2026-07-14,2026-07-14 03:18:27,M_101,BNK_05,PM_03,521.67,SUCCESS,NONE,931,0.0185
TXN_0000017,2026-06-23,2026-06-23 16:58:06,M_106,BNK_03,PM_05,4378.49,SUCCESS,NONE,796,0.015
TXN_0000018,2026-06-26,2026-06-26 04:23:48,M_106,BNK_05,PM_05,975.44,FAILED,NETWORK_FAILURE,4082,0.015
TXN_0000019,2026-08-02,2026-08-02 00:07:59,M_101,BNK_05,PM_03,1003.0,USER_DROPPED,AUTH_TIMEOUT,4410,0.0185
TXN_0000020,2026-06-08,2026-06-08 07:56:36,M_107,BNK_03,PM_02,4745.36,SUCCESS,NONE,676,0.0185
TXN_0000021,2026-06-17,2026-06-17 04:42:30,M_104,BNK_01,PM_05,17176.15,SUCCESS,NONE,1539,0.015
TXN_0000022,2026-06-28,2026-06-28 17:48:46,M_105,BNK_05,PM_04,843.35,SUCCESS,NONE,1032,0.009
TXN_0000023,2026-08-06,2026-08-06 14:07:15,M_104,BNK_03,PM_04,5982.81,SUCCESS,NONE,1120,0.009
TXN_0000024,2026-08-15,2026-08-15 07:00:04,M_105,BNK_05,PM_02,864.02,SUCCESS,NONE,672,0.0185
TXN_0000025,2026-06-10,2026-06-10 16:15:17,M_101,BNK_01,PM_03,1722.1,SUCCESS,NONE,936,0.0185
TXN_0000026,2026-07-31,2026-07-31 07:50:30,M_102,BNK_05,PM_05,4075.99,SUCCESS,NONE,1133,0.015
TXN_0000027,2026-07-25,2026-07-25 13:29:55,M_101,BNK_04,PM_03,1863.33,SUCCESS,NONE,754,0.0185
TXN_0000028,2026-07-22,2026-07-22 23:21:51,M_106,BNK_01,PM_01,4336.03,SUCCESS,NONE,1212,0.0065
TXN_0000029,2026-06-18,2026-06-18 13:11:17,M_102,BNK_05,PM_04,2420.61,SUCCESS,NONE,919,0.009
TXN_0000030,2026-06-13,2026-06-13 01:41:34,M_101,BNK_04,PM_05,2114.66,USER_DROPPED,AUTH_TIMEOUT,5149,0.015
TXN_0000031,2026-07-23,2026-07-23 15:30:13,M_107,BNK_02,PM_02,4350.32,FAILED,ISSUER_DOWNTIME,3258,0.0185
TXN_0000032,2026-07-29,2026-07-29 09:27:44,M_101,BNK_04,PM_03,2399.7,USER_DROPPED,AUTH_TIMEOUT,7722,0.0185
TXN_0000033,2026-06-25,2026-06-25 09:13:03,M_105,BNK_04,PM_02,716.06,SUCCESS,NONE,1095,0.0185
TXN_0000034,2026-06-07,2026-06-07 18:30:32,M_106,BNK_03,PM_01,4613.06,SUCCESS,NONE,782,0.0065
TXN_0000035,2026-06-24,2026-06-24 02:38:04,M_101,BNK_05,PM_01,1736.75,SUCCESS,NONE,1346,0.0
TXN_0000036,2026-08-14,2026-08-14 19:02:39,M_101,BNK_05,PM_02,342.66,SUCCESS,NONE,733,0.0185
TXN_0000037,2026-07-04,2026-07-04 06:42:45,M_105,BNK_05,PM_03,411.31,SUCCESS,NONE,1162,0.0185
TXN_0000038,2026-07-11,2026-07-11 02:00:29,M_102,BNK_03,PM_04,3181.56,SUCCESS,NONE,512,0.009
TXN_0000039,2026-06-28,2026-06-28 16:16:08,M_101,BNK_01,PM_05,2343.16,FAILED,AUTH_TIMEOUT,2604,0.015
TXN_0000040,2026-07-27,2026-07-27 17:45:19,M_103,BNK_03,PM_02,3136.05,USER_DROPPED,AUTH_TIMEOUT,5736,0.0185
TXN_0000041,2026-08-10,2026-08-10 09:59:42,M_106,BNK_05,PM_01,697.22,SUCCESS,NONE,1321,0.0
TXN_0000042,2026-08-10,2026-08-10 04:17:18,M_103,BNK_01,PM_01,3103.18,SUCCESS,NONE,1151,0.0065
TXN_0000043,2026-08-02,2026-08-02 08:57:58,M_102,BNK_03,PM_05,4261.3,SUCCESS,NONE,1065,0.015
TXN_0000044,2026-06-01,2026-06-01 10:49:08,M_104,BNK_03,PM_01,12375.26,SUCCESS,NONE,1009,0.0065
TXN_0000045,2026-07-25,2026-07-25 17:00:07,M_106,BNK_04,PM_05,561.17,FAILED,NETWORK_FAILURE,2469,0.015
TXN_0000046,2026-08-14,2026-08-14 17:09:27,M_105,BNK_01,PM_03,196.56,SUCCESS,NONE,884,0.0185
TXN_0000047,2026-06-27,2026-06-27 21:15:42,M_107,BNK_01,PM_03,693.41,SUCCESS,NONE,961,0.0185
TXN_0000048,2026-06-20,2026-06-20 07:55:10,M_107,BNK_04,PM_05,4885.79,SUCCESS,NONE,1417,0.015
TXN_0000049,2026-07-13,2026-07-13 13:51:42,M_104,BNK_01,PM_02,15892.99,SUCCESS,NONE,1203,0.0185
TXN_0000050,2026-07-19,2026-07-19 01:54:30,M_103,BNK_02,PM_01,1267.68,SUCCESS,NONE,571,0.0
TXN_0000051,2026-06-30,2026-06-30 07:01:42,M_104,BNK_03,PM_03,5493.51,SUCCESS,NONE,1197,0.0185
TXN_0000052,2026-07-15,2026-07-15 20:32:25,M_107,BNK_01,PM_03,3461.69,SUCCESS,NONE,984,0.0185
TXN_0000053,2026-07-04,2026-07-04 05:37:16,M_103,BNK_01,PM_01,383.63,SUCCESS,NONE,896,0.0
TXN_0000054,2026-08-17,2026-08-17 16:07:24,M_103,BNK_03,PM_04,4517.62,SUCCESS,NONE,1283,0.009
TXN_0000055,2026-08-06,2026-08-06 17:43:46,M_101,BNK_04,PM_01,2359.62,SUCCESS,NONE,1409,0.0065
TXN_0000056,2026-06-09,2026-06-09 21:58:21,M_102,BNK_03,PM_04,3191.15,SUCCESS,NONE,1379,0.009
TXN_0000057,2026-07-10,2026-07-10 21:26:20,M_101,BNK_03,PM_05,1095.64,SUCCESS,NONE,848,0.015
TXN_0000058,2026-07-19,2026-07-19 21:47:57,M_102,BNK_02,PM_04,1035.33,SUCCESS,NONE,1007,0.009
TXN_0000059,2026-07-09,2026-07-09 09:13:27,M_104,BNK_05,PM_01,14679.26,SUCCESS,NONE,1199,0.0065
TXN_0000060,2026-07-27,2026-07-27 21:13:32,M_103,BNK_04,PM_04,2471.29,FAILED,AUTH_TIMEOUT,4677,0.009
TXN_0000061,2026-08-05,2026-08-05 21:40:39,M_102,BNK_01,PM_03,1808.9,SUCCESS,NONE,956,0.0185
TXN_0000062,2026-06-29,2026-06-29 06:09:01,M_107,BNK_02,PM_03,421.83,USER_DROPPED,AUTH_TIMEOUT,5277,0.0185
TXN_0000063,2026-07-24,2026-07-24 20:36:12,M_105,BNK_01,PM_04,876.1,SUCCESS,NONE,768,0.009
TXN_0000064,2026-06-01,2026-06-01 03:49:27,M_104,BNK_02,PM_02,5892.04,SUCCESS,NONE,741,0.0185
TXN_0000065,2026-06-07,2026-06-07 17:15:58,M_106,BNK_05,PM_04,4272.01,SUCCESS,NONE,1343,0.009
TXN_0000066,2026-08-11,2026-08-11 19:20:48,M_107,BNK_04,PM_05,4478.84,SUCCESS,NONE,1506,0.015
TXN_0000067,2026-08-10,2026-08-10 14:57:10,M_106,BNK_05,PM_04,3769.55,SUCCESS,NONE,1078,0.009
TXN_0000068,2026-08-06,2026-08-06 15:40:15,M_103,BNK_02,PM_03,1518.07,SUCCESS,NONE,1401,0.0185
